,Artist name,Title of Artwork,Artwork type,Auction,Location,Closed date,Currency,low Estimate,high Estimate,Price realised,Details,Website link
11,CLAUDE MONET,charing cross bridge,Impressionist & Modern Art,Sotheby's,New York,12 November 2019 ,USD,20000000,30000000,27600000,,https://www.sothebys.com/en/auctions/ecatalogue/2019/impressionist-modern-art-evening-n10147/lot.8.html
12,CLAUDE MONET,nymphéas (fragment),Impressionist & Modern Art,Sotheby's,New York,13 November 2019 ,USD,600000,800000,2480000,,https://www.sothebys.com/en/auctions/ecatalogue/2019/impressionist-modern-art-day-n10148/lot.436.html
13,CLAUDE MONET,"étretat, coucher de soleil",Impressionist & Modern Art,Sotheby's,New York,13 November 2019 ,USD,1200000,1800000,3020000,,https://www.sothebys.com/en/auctions/ecatalogue/2019/impressionist-modern-art-day-n10148/lot.119.html
14,CLAUDE MONET,"printemps à giverny, effet du matin",Impressionist & Modern Art,Sotheby's,London,19 June 2019 ,GBP,4000000,6000000,3135000,,https://www.sothebys.com/en/auctions/ecatalogue/2019/impressionist-modern-art-evening-sale-l19006/lot.12.html
15,CLAUDE MONET,nymphéas,Impressionist & Modern Art,Sotheby's,London,19 June 2019 ,GBP,25000000,35000000,23731624,,https://www.sothebys.com/en/auctions/ecatalogue/2019/impressionist-modern-art-evening-sale-l19006/lot.10.html
16,CLAUDE MONET,"deux lettres autographes signées à son épouse alice. londres, 2 et 10 mars 1901.",Books & Manuscripts,Sotheby's,Paris,18 June 2019 ,EUR,8000,12000,8125,"8 et 6 p. in-8 (203 x 128 mm), en-têtes du Savoy Hotel à Londres. A Londres, Monet travaille avec difficulté à la série des Parlements. Monet profite du mauvais temps qui sévit à Londres pour écrire à sa femme, ne pouvant travailler deux jours de suite aux mêmes choses : ""Continuer une toile est presque impossible. Je transforme des toiles et souvent celles qui étaient passables deviennent pires. Personne ne saura jamais le mal que je me suis donné pour arriver à si peu de choses et puis il faut bien le dire, travailler à deux endroits est mauvais il m'arrive vraiment d'interrompre une toile qu'en une heure je pouvais compléter parce qu'il est l'heure de l'hôpital."" Il évoque le peintre John Singer Sargent, très occupé et qu’il n’a pas encore vu, puis s'explique à propos de l'expédition d'une toile acquise par le collectionneur anglais Desmond Fitzgerald, ayant pensé tout d'abord passer par l'intermédiaire de Durand-Ruel. Dans la seconde lettre, le peintre se dit las de la vie londonienne et du mauvais temps qui l’empêche de bien travailler : ""quelle journée triste que ce sacré dimanche anglais, la nature s'en ressent. Tout est comme mort, pas de train, pas de fumée ni de bateau, rien qui excite un peu la verve. Je crois que je ne vais pas tarder à rentrer"". Il mentionne une soirée passée avec le journaliste et collectionneur Raymond Koechlin, et toujours les difficultés qu’il rencontre et sa tristesse de n’arriver à rien : ""j'ai travaillé jusqu'ici 20 fois à des toiles pour n'en faire qu'une pochade – en quelques instants. Et pour maintenant il y a quantité d'effets qui ne peuvent se retrouver ici à cause de la nouvelle situation du soleil. […] Je suis si désolé que je me répète tout cela pour excuser mon impuissance."" - 2 mars 1901: ""Ma bonne chérie, Il fait un temps de chien comme hier à Giverny. De de la pluie à flots et comme ça fouette tellement fort contre les carreaux je ne peux presque rien voir. J'en profite pour revenir à toi, bien heureux de vous savoir enfin rassurés et te souhaitant enfin un peu de calme pour te remettre enfin.Je suis désolé de ce temps, hier j'étais content et plein d'ardeur et j'espérai faire une bonne journée, il faisait un temps superbe hier soir, mais ici comme je te l'ai déjà dit il n'y a pas moyen de songer à travailler deux jours de suite aux mêmes choses.Et il faudrait me borner à ne faire que des pochades et des croquis pour en tirer parti tranquillement après à l'atelier. Continuer une toile est presque impossible. Je transforme des toiles et souvent celles qui étaient passables deviennent pires. Personne ne saura jamais le mal que je me suis donné pour arriver à si peu de choses et puis il faut bien le dire, travailler à deux endroits est mauvais il m'arrive vraiment d'interrompre une toile qu'en une heure je pouvais compléter parce qu'il est l'heure de l'hôpital. Cela m'est arrivé souvent déjà. Enfin je ne me décourage pas. J'ai trouvé Mme Hunter furieuse elle venait d'arriver de Selaby pour préparer les appartements de sa fille qui arrive aujourd'hui et comptait sur sa sœur ainsi que Sargent qu'elle avait invité. Et ni l'un ni l'autre n'ont pu venir, sa sœur trop fatiguée et Sargent ayant tous des moments pris ainsi que toutes ses soirées, de sorte que nous avons encore dîné seuls causant beaucoup de Sargent qu'elle voudrait que j'influence pour qu'il ne se s’épuise pas autant à faire et tant de portraits. Prétendant que j'avais une énorme influence sur lui. Mais je trouve cela bien difficile. Du reste je ne l'ai pas revu de la semaine et j'irai peut-être lui dire bonjour à la fin du jour si le temps ne me permet pas de m'installer sur la terrasse de l'hôpital, ce que je crains bien quoiqu'il ne soit que 11h et que cela puisse changer d'ici là. Je n'ai pas encore travaillé au club d'abord parce que je n'y étais pas préparé, ni chevalet ni toile mais c'est fait maintenant et je compte y aller ce soir ou lundi selon le temps car ce n'est vraiment beau que lorsqu'il y a un peu de brouillard. Et puis comme je suis souvent un peu fatigué à la fin de la journée je n'ai pas toujours le courage et puis il me faudra dîner, ou avant d'assez bonne heure ou alors après vers 4h. voulant y être au moment de la plus grande animation. Mais j'irai sûrement y faire ne fut-ce qu'une vue ou deux pochades. Je pensais te donner les explications pour la toile Fitzgerald que je pensais te prier d'envoyer à Durand-Ruel qui se serait chargé de la chose. Mais bon j'ai reçu un mot de ce français qui était ici qui m'avait à peu près traduit la lettre dudit Fitzgerald, sauf un bout de phrase où il y avait un mot qu'il ne comprenait pas, ce qu'il l'avait tracassé et comme il m'avait entendu dire que je chargerai Durand de l'expédition, il m'écrivait pour me faire savoir que la phrase en question disait justement de ne pas faire l'expédition par l'intermédiaire d'un marchand. J'ai donc écrit hier soir à un emballeur de Paris lui demandant de me faire savoir de suite s'il se chargerait de faire l'envoi et toutes les formalités. Et sitôt sa réponse je te dirais ce qu'il faudra faire. Mais c'est heureux que ce garçon, qui est parti, m'avait écrit. Sans quoi je te disais d'envoyer à Durand. Hélas, le même temps continue je suis navré et pour me dégourdir je vais m'habiller et descendre déjeuner au Grill. J'espère comme toi que Michel n'a pas été envoyé subitement à Rouen car alors il n'y aurait rien à faire. Embrassez bien pour moi le pauvre J. P. qui ne doit guère s'amuser. Embrasse aussi mon Michel Marthe Germaine et les petits. Amitiés à Butler et pour toi toutes mes tendresses toutes mes pensées. Ton vieux Claude - Dimanche 10 mars 1901:Contre mon espérance, je n'ai pas eu hier soir ta lettre de vendredi et il me faut attendre demain pour avoir des nouvelles.Quelle journée triste que ce sacré dimanche anglais, la nature s'en ressent. Tout est comme mort, pas de train, pas de fumée ni de bateau, rien qui excite un peu la verve. Je crois que je ne vais pas tarder à rentrer.Je me donne encore la semaine et s'il n'en sort rien de bon je file. Ce n'est pas quelques jours de plus qui me sauveront et ce sera encore une veste malgré tous mes efforts, enfin je vais voir ce que ces huit jours feront.Hier soir à dîner au Grill room je vois entrer deux messieurs en grande tenue, habit dont l'un s’écrie, Oh, M. Monet et qui se précipite vers moi. C'était M. Raymond Koechlin que je ne reconnaissais pas. Tout d'abord, et comme il y avait une table libre proche la mienne, il s'y est mis avec son ami Villars, le correspondant du Figaro ici. Tu penses s'il était content de me voir et moi aussi du reste mais désolé en même temps, repartant ce matin pour Paris. Il y avait 15 jours qu'il était ici, il m'a chargé de tous ses compliments pour toi, nous avons passé une partie de la soirée au Grill à causer. J'avais été travaillé au Club avant le dîner et étais assez fatigué, et cette nuit j'ai été réveillé par une terrible douleur au molet, c'était à crier. J'ai cru à une crampe et me suis mis à marcher mais ça a eu bien du mal à se calmer et m’en ressens encore. J'attribue cela à la fatigue et au temps que je passe debout, ne m'asseyant en somme que pour écrire et manger, aussi aujourd'hui je me calme un peu et vais faire un tour de promenade ce que je n'ai pas fait depuis bien longtemps. J'espère que le meilleur continuera pour J.P. et que plus calme toi-même tu vas enfin te remettre de toutes ces secousses. Ce soir je vais dîner chez Mme Hunter puisque je le lui ai promis si je ne partais pas. Et vais enfin voir sa fameuse sœur aussi que son gendre. Mais je ne suis guère en train, si attristé de n’arriver à rien, de m’être donné tant de mal, dépensé tant pour de vagues indications, mais aussi comme je m’y suis mal pris, ce n’est pas un pays où l’on peut terminer sur place des effets […] Il m’aurait fallu ne faire que des pochades, de vraies impressions, avec cela et des dessins. J'aurais pu en tirer parti tandis que j'ai travaillé jusqu'ici 20 fois à des toiles pour finalement n'en faire qu'une pochade en quelques instants. Et puis maintenant il y a quantité d'effets qui ne peuvent se retrouver ici à cause de la nouvelle situation du soleil. Mais je t'ai déjà dit tout cela. Je suis si désolé que je me répète tout cela pour excuser mon impuissance. Donc à moins que je ne fasse des prodiges cette semaine, je ne serai longtemps à parler de retour. Ma consolation sera de vous retrouver au moins bien portants et que d’ici il soit venu une heureuse réponse de Bourgeois. Je t’embrasse comme je t’aime ainsi que tous. Amitiés à Butler. ",https://www.sothebys.com/en/auctions/ecatalogue/2019/livres-et-manuscrits-pf1903/lot.158.html
17,CLAUDE MONET,"lettre autographe signée à camille pissarro, datée le havre 27 janvier [18]74.",Books & Manuscripts,Sotheby's,Paris,22 May 2019 ,EUR,3500,4500,3125,"2 pages in-12 (208 x 130 mm), sous chemise demi-maroquin bleu moderne. Lettre datant de la naissance officielle de l’impressionnisme. Monet avait rencontré Pissarro, en 1859, à l’Académie Suisse. En 1874, à l’époque de cette lettre, il se trouvait dans une situation matérielle très difficile. Du Havre, où habitaient ses parents, il écrit à son vieil ami pour lui donner des nouvelles, notamment du projet, qu’il avait lancé, de “Société anonyme des artistes peintres, sculpteurs et graveurs”, qui aurait réuni, outre Monet et Pissarro, Sisley, Degas, Renoir et Cézanne. Ce sera le groupe impressionniste, qui, le 15 avril suivant, exposera pour la première fois chez Nadar. Monet y fera figurer douze toiles, dont Impression : soleil levant. J’ai reçu votre lettre ; je vous remercie bien de votre obligeance et vous complimente du résultat de la vente de vos tableaux. Je savais déjà tout cela par une lettre de Renoir. Je regrette bien ne pas m’être trouvé là pour racheter ma maison bleue [il s’agit de la Maison bleue, peinte par Monet en Hollande, à Zaandam, acquise par Etienne Baudry à la première vente Hoschedé le 13 janvier 1874] à laquelle je tenais. J’ai su également par le journal L’Evénement que le conseil d’administration faisait sa besogne — l’annonce de la formation de la Société en est la preuve […] Excusez-moi, je vous prie, auprès de ces messieurs de leur laisser toute la besogne. Je ne suis pas un lâcheur, vous le savez, à mon retour je serai à mon poste. Je travaille, mais quand on a cessé de faire de la marine c’est le diable après, très difficile. Cela change à tout instant et ici le temps varie plusieurs fois dans la même journée. Et les affaires comment vont-elles et que dit-on chez Durand. Wildenstein, Monet, t. I, n° 76 p. 429. Quelques rousseurs.",https://www.sothebys.com/en/auctions/ecatalogue/2019/rbl-pf1923/lot.127.html
18,CLAUDE MONET,la jetée de fécamp par gros temps,Impressionist & Modern Art,Sotheby's,New York,14 May 2019 ,USD,1200000,1800000,1820000,,https://www.sothebys.com/en/auctions/ecatalogue/2019/impressionist-modern-art-evening-n10067/lot.54.html
19,CLAUDE MONET,la prairie fleurie,Impressionist & Modern Art,Sotheby's,New York,14 May 2019 ,USD,4000000,6000000,4933900,,https://www.sothebys.com/en/auctions/ecatalogue/2019/impressionist-modern-art-evening-n10067/lot.31.html
20,CLAUDE MONET,"prairie, ciel nuageux",Impressionist & Modern Art,Sotheby's,New York,14 May 2019 ,USD,6000000,8000000,5959000,,https://www.sothebys.com/en/auctions/ecatalogue/2019/impressionist-modern-art-evening-n10067/lot.30.html
21,CLAUDE MONET,meules,Impressionist & Modern Art,Sotheby's,New York,14 May 2019 ,USD,55000000,75000000,110747000,,https://www.sothebys.com/en/auctions/ecatalogue/2019/impressionist-modern-art-evening-n10067/lot.8.html
22,CLAUDE MONET,vue d'argenteuil,Impressionist & Modern Art,Sotheby's,Paris,29 March 2019 ,EUR,600000,800000,1428500,,https://www.sothebys.com/en/auctions/ecatalogue/2019/art-impressionniste-et-moderne-pf1926/lot.408.html
23,CLAUDE MONET,gamin des rues,Impressionist & Modern Art,Sotheby's,London,27 February 2019 ,GBP,20000,30000,35000,,https://www.sothebys.com/en/auctions/ecatalogue/2019/impressionist-modern-art-day-sale-l19004/lot.168.html
24,CLAUDE MONET,zouave,Impressionist & Modern Art,Sotheby's,London,27 February 2019 ,GBP,20000,30000,40000,,https://www.sothebys.com/en/auctions/ecatalogue/2019/impressionist-modern-art-day-sale-l19004/lot.167.html
25,CLAUDE MONET,le palais ducal,Impressionist & Modern Art,Sotheby's,London,26 February 2019 ,GBP,20000000,30000000,27534000,,https://www.sothebys.com/en/auctions/ecatalogue/2019/impressionist-modern-art-evening-sale-l19002/lot.6.html
26,CLAUDE MONET,portrait d'andré lauvray,Impressionist & Modern Art,Sotheby's,New York,13 November 2018 ,USD,300000,500000,507000,,https://www.sothebys.com/en/auctions/ecatalogue/2018/impressionist-modern-art-day-sale-n09931/lot.428.html
27,CLAUDE MONET,la maison à travers les roses,Impressionist & Modern Art,Sotheby's,New York,13 November 2018 ,USD,800000,1200000,1035000,,https://www.sothebys.com/en/auctions/ecatalogue/2018/impressionist-modern-art-day-sale-n09931/lot.425.html
28,CLAUDE MONET,"bouquet de glaïeuls, lis et marguerites",Impressionist & Modern Art,Sotheby's,New York,12 November 2018 ,USD,7000000,10000000,9556800,,https://www.sothebys.com/en/auctions/ecatalogue/2018/impressionist-modern-art-evening-sale-n09930/lot.44.html
29,CLAUDE MONET,prunes et abricots,Impressionist & Modern Art,Sotheby's,New York,12 November 2018 ,USD,1500000,2000000,1455000,,https://www.sothebys.com/en/auctions/ecatalogue/2018/impressionist-modern-art-evening-sale-n09930/lot.42.html
30,CLAUDE MONET,la falaise d'amont,Impressionist & Modern Art,Sotheby's,New York,12 November 2018 ,USD,3500000,4500000,3615000,,https://www.sothebys.com/en/auctions/ecatalogue/2018/impressionist-modern-art-evening-sale-n09930/lot.41.html
31,CLAUDE MONET,charing cross bridge,Impressionist & Modern Art,Sotheby's,New York,12 November 2018 ,USD,2000000,3000000,2235000,,https://www.sothebys.com/en/auctions/ecatalogue/2018/impressionist-modern-art-evening-sale-n09930/lot.37.html
32,CLAUDE MONET,côte près de honfleur,Impressionist & Modern Art,Sotheby's,Paris,18 October 2018 ,EUR,120000,180000,175000,,https://www.sothebys.com/en/auctions/ecatalogue/2018/modernits-pf1816/lot.6.html
33,CLAUDE MONET,vue d'argenteuil,Impressionist & Modern Art,Sotheby's,London,19 June 2018 ,GBP,1300000,1800000,1090000,,https://www.sothebys.com/en/auctions/ecatalogue/2018/impressionist-modern-art-evening-sale-l18006/lot.26.html
34,CLAUDE MONET,la méditerranée par vent de mistral ,Impressionist & Modern Art,Sotheby's,London,19 June 2018 ,GBP,6500000,8500000,7150800,,https://www.sothebys.com/en/auctions/ecatalogue/2018/impressionist-modern-art-evening-sale-l18006/lot.15.html
35,CLAUDE MONET,citrons sur une branche,Impressionist & Modern Art,Sotheby's,London,19 June 2018 ,GBP,2500000,3500000,2530000,,https://www.sothebys.com/en/auctions/ecatalogue/2018/impressionist-modern-art-evening-sale-l18006/lot.11.html
36,CLAUDE MONET,le port de zaandam,Impressionist & Modern Art,Sotheby's,London,19 June 2018 ,GBP,3500000,5000000,2890000,,https://www.sothebys.com/en/auctions/ecatalogue/2018/impressionist-modern-art-evening-sale-l18006/lot.8.html
37,CLAUDE MONET,inondation à giverny,Impressionist & Modern Art,Sotheby's,New York,14 May 2018 ,USD,2000000,3000000,2655000,,https://www.sothebys.com/en/auctions/ecatalogue/2018/impressionist-modern-art-evening-sale-n09860/lot.42.html
38,CLAUDE MONET,"sur la falaise, au petit ailly",Impressionist & Modern Art,Sotheby's,New York,14 May 2018 ,USD,2000000,3000000,2055000,,https://www.sothebys.com/en/auctions/ecatalogue/2018/impressionist-modern-art-evening-sale-n09860/lot.33.html
39,CLAUDE MONET,matinée sur la seine,Impressionist & Modern Art,Sotheby's,New York,14 May 2018 ,USD,18000000,25000000,20550000,,https://www.sothebys.com/en/auctions/ecatalogue/2018/impressionist-modern-art-evening-sale-n09860/lot.15.html
40,CLAUDE MONET,la porte du jardin à vétheuil,Impressionist & Modern Art,Sotheby's,London,28 February 2018 ,GBP,2000000,3000000,3086400,,https://www.sothebys.com/en/auctions/ecatalogue/2018/impressionist-modern-art-evening-sale-l18002/lot.17.html
